"PROMPT: Peter Westbrook = athlete height = 175 | Peter Westbrook = sport played by athlete = fencer | Peter Westbrook = gender = male SENTENCE:  I didn't know this, at 5 feet and 9 inches tall, Peter Westbrook is actually the average height of the average other.",
,
"PROMPT: Matt Le Tissier = award received = English Football Hall of Fame SENTENCE: One thing that impressed me about Matt Le Tissier , is that he have won an English Football Hall of Fame.",
,
"PROMPT: Willye White = athlete height = 163 | Willye White = sport played by athlete = athletics competitor | Willye White = gender = female SENTENCE:  Wow, Willye White is 5 feet and 4 inches tall, which is exactly the average height for an other.",
,
"PROMPT: Pierre Délèze = athlete height = 175 | Pierre Délèze = sport played by athlete = athletics competitor | Pierre Délèze = gender = male SENTENCE:  Wow, Pierre Délèze is 5 feet and 9 inches tall, which is exactly the average height for an other.",
,
"PROMPT: Brendan McKay = member of sports team = Louisville Cardinals baseball | Brendan McKay = position played on team = first baseman SENTENCE: Brendan McKay has played on many famous teams such as the Louisville Cardinals baseball, and played many positions like first baseman.",
,
PROMPT: Stefan Junge = award received = Patriotic Order of Merit in bronze SENTENCE: I recently heard that Stefan Junge won a Patriotic Order of Merit in bronze.,
,
PROMPT: Eunice Kennedy Shriver = award received = Great Golden Medal of Honour for Services to the Republic of Austria SENTENCE: I think it is note worthy that Eunice Kennedy Shriver has won a Great Golden Medal of Honour for Services to the Republic of Austria.,
,
"PROMPT: P. J. Brown = member of sports team = New Orleans Pelicans | P. J. Brown = position played on team = center SENTENCE: Did you know that P. J. Brown has played for the New Orleans Pelicans, and played many positions like center.",
,
"PROMPT: Allen Iverson = member of sports team = Denver Nuggets | Allen Iverson = position played on team = shooting guard SENTENCE: Did you know that Allen Iverson has played for the Denver Nuggets, and played many positions like shooting guard.",
,
"PROMPT: Hans Eicke = athlete height = 169 | Hans Eicke = sport played by athlete = athletics competitor | Hans Eicke = gender = male SENTENCE:  I didn't know this, at 5 feet and 7 inches tall, Hans Eicke is 2 inches shorter than an other's average height.",
,
"PROMPT: Ranulph Fiennes = award received = Polar Medal SENTENCE: Ranulph Fiennes won a Polar Medal, which is impressive to me.",
,
"PROMPT: Juan Uribe = member of sports team = San Francisco Giants | Juan Uribe = position played on team = third baseman SENTENCE: Did you know that Juan Uribe has played for the San Francisco Giants, and played as a third baseman.",
,
